Date,Open,High,Low,Close,Adj Close,Volume
2011-11-21,68.120003,68.379997,67.610001,68.220001,50.831738,4399200
2011-11-22,68.199997,68.750000,67.839996,68.040001,50.697628,3331300
2011-11-23,67.540001,67.570000,66.900002,66.900002,49.848202,5294900
2011-11-25,66.519997,67.150002,66.459999,66.459999,49.520336,1690700
2011-11-28,68.190002,68.779999,67.739998,68.239998,50.846638,4618600
2011-11-29,68.599998,69.120003,68.339996,68.410004,50.973316,3121300
2011-11-30,70.019997,71.800003,69.949997,71.750000,53.461994,6995600
2011-12-01,71.570000,71.730003,71.000000,71.129997,53.000015,3766300
2011-12-02,71.760002,72.089996,71.000000,71.070000,52.955322,4107400
2011-12-05,71.940002,72.440002,71.510002,71.949997,53.611015,4760000
2011-12-06,72.190002,72.250000,71.489998,71.800003,53.499245,3468500
2011-12-07,71.720001,73.660004,71.500000,73.309998,54.624371,7583000
2011-12-08,72.889999,73.300003,71.800003,72.019997,53.663177,5756800
2011-12-09,72.379997,72.639999,71.760002,72.449997,53.983559,3741900
2011-12-12,71.830002,71.889999,71.029999,71.839996,53.529053,4156600
2011-12-13,72.050003,72.459999,70.660004,71.050003,52.940414,5511200
2011-12-14,70.779999,71.400002,70.379997,70.639999,52.634907,4714700
2011-12-15,71.720001,72.239998,71.379997,71.550003,53.312969,6363900
2011-12-16,72.089996,72.400002,71.360001,71.760002,53.469456,6937500
2011-12-19,71.989998,72.309998,70.550003,70.800003,52.754135,3735400
2011-12-20,71.809998,72.779999,71.620003,72.559998,54.065525,3615300
2011-12-21,72.750000,72.919998,71.910004,72.470001,53.998478,3105800
2011-12-22,72.730003,73.430000,72.639999,73.000000,54.393379,3819000
2011-12-23,73.150002,73.480003,72.910004,73.470001,54.743595,1870500
2011-12-27,73.400002,73.809998,73.129997,73.489998,54.758499,1337000
2011-12-28,73.480003,73.540001,72.500000,72.730003,54.192200,2098500
2011-12-29,72.830002,73.629997,72.820000,73.529999,54.788300,1926900
2011-12-30,73.550003,73.750000,73.110001,73.190002,54.534950,1774600
2012-01-03,74.010002,74.919998,73.830002,74.160004,55.257725,5152300
2012-01-04,73.930000,74.370003,73.519997,73.839996,55.019283,3698900
2012-01-05,73.459999,73.500000,72.150002,73.120003,54.482807,5064700
2012-01-06,73.129997,73.940002,73.050003,73.480003,54.751057,3177500
2012-01-09,73.250000,73.500000,72.830002,73.449997,54.728687,3959000
2012-01-10,73.970001,74.739998,73.300003,74.190002,55.280071,3803700
2012-01-11,73.980003,74.760002,73.779999,74.610001,55.593002,4047500
2012-01-12,74.410004,74.959999,74.410004,74.739998,55.689877,2777700
2012-01-13,73.190002,74.269997,73.000000,74.160004,55.257725,5020600
2012-01-17,74.639999,74.750000,73.900002,74.199997,55.287529,4093200
2012-01-18,74.269997,75.139999,74.089996,74.930000,55.831451,4578400
2012-01-19,74.970001,75.580002,74.970001,75.309998,56.114594,4714100
2012-01-20,75.309998,75.610001,75.000000,75.419998,56.196575,5051000
2012-01-23,75.449997,75.489998,74.680000,75.129997,55.980492,3198600
2012-01-24,74.669998,75.089996,74.459999,75.000000,55.883621,3577700
2012-01-25,74.760002,75.750000,74.599998,75.620003,56.345592,4219800
2012-01-26,75.690002,76.389999,75.559998,75.839996,56.509502,4011600
2012-01-27,75.889999,76.510002,75.620003,76.040001,56.658546,4284000
2012-01-30,75.550003,76.410004,75.500000,76.150002,56.740498,4318400
2012-01-31,76.540001,76.930000,74.839996,75.650002,56.367950,6997700
2012-02-01,76.370003,77.180000,75.750000,76.779999,57.209904,7305600
2012-02-02,76.980003,77.160004,76.269997,76.379997,56.911880,3043100
2012-02-03,77.080002,77.339996,76.639999,76.699997,57.150322,4149200
2012-02-06,76.529999,77.040001,76.529999,76.919998,57.314240,3922300
2012-02-07,76.559998,77.550003,76.339996,77.290001,57.589931,5027900
2012-02-08,77.180000,77.300003,76.750000,76.919998,57.314240,3262300
2012-02-09,76.849998,77.029999,76.250000,76.570000,57.053440,3848700
2012-02-10,76.099998,76.760002,75.970001,76.690002,57.142868,3620600
2012-02-13,76.959999,77.260002,76.519997,77.160004,57.493076,3115800
2012-02-14,77.029999,77.220001,76.650002,77.110001,57.455803,2918600
2012-02-15,77.330002,77.330002,76.360001,76.730003,57.172672,3424300
2012-02-16,76.199997,76.860001,76.059998,76.760002,57.623081,3692400
2012-02-17,77.089996,77.290001,75.459999,76.760002,57.623081,7105100
2012-02-21,76.959999,77.089996,76.059998,76.400002,57.352840,3652400
2012-02-22,76.290001,76.570000,75.809998,75.900002,56.977501,3284900
2012-02-23,76.000000,76.790001,75.790001,76.639999,57.533001,3018200
2012-02-24,76.589996,76.779999,76.269997,76.500000,57.427910,3575300
2012-02-27,76.339996,77.139999,75.839996,76.769997,57.630573,3439000
2012-02-28,76.660004,77.089996,76.449997,76.860001,57.698147,3209000
2012-02-29,76.860001,77.099998,76.330002,76.989998,57.795738,4314300
2012-03-01,77.150002,77.260002,76.589996,76.889999,57.720665,3659700
2012-03-02,76.089996,77.000000,76.089996,76.540001,57.457935,1992900
2012-03-05,76.540001,76.570000,75.930000,76.320000,57.292797,2102500
2012-03-06,75.690002,76.220001,75.379997,75.610001,56.759800,3290300
2012-03-07,75.589996,76.160004,75.570000,76.000000,57.052563,2552500
2012-03-08,76.279999,76.889999,76.040001,76.720001,57.593060,3405400
2012-03-09,76.919998,77.419998,76.440002,77.160004,57.923370,2954900
2012-03-12,77.389999,77.790001,77.120003,77.690002,58.321228,3243400
2012-03-13,77.769997,78.430000,77.559998,78.370003,58.831718,4442600
2012-03-14,78.330002,78.449997,78.010002,78.239998,58.734116,3453000
2012-03-15,78.250000,78.980003,77.900002,78.940002,59.259575,3956700
2012-03-16,78.930000,79.129997,78.400002,78.410004,58.861736,4612000
